corruption,n_samples,r,r_ema,model_acc_ema,model_ent_ema
fog/s5,128.0,0.18567101657390594,0.18567101657390594,0.6065340909090908,5.658027388832785
fog/s5,256.0,0.15611089766025543,0.18029644949869675,0.60050009391435,5.700780221522077
fog/s5,384.0,0.1563999354839325,0.1759516287687396,0.5879380793972094,5.743354048977855
fog/s5,512.0,0.181941419839859,0.1770406816907613,0.5988986316625946,5.700301370826762
fog/s5,640.0,0.17244534194469452,0.17620516537329461,0.5822172658237204,5.698656500095174
fog/s5,768.0,0.14491471648216248,0.17051599284763422,0.5614946159646392,5.746039165920443
fog/s5,896.0,0.18035686016082764,0.172305241450033,0.574998461926742,5.710004340873116
fog/s5,1024.0,0.17260272800922394,0.17235932991534045,0.5824886398021991,5.711994395378719
fog/s5,1152.0,0.186935156583786,0.17500948021869417,0.5789799985452737,5.688540206825788
fog/s5,1280.0,0.19851380586624146,0.17928299397279365,0.5885114039848525,5.640675667762103
fog/s5,1408.0,0.1918715536594391,0.18157182300672917,0.5868857332460582,5.626808595649029
fog/s5,1536.0,0.20422278344631195,0.18569017945028965,0.6012933420903365,5.584708745414902
fog/s5,1664.0,0.1931646764278412,0.18704917890075354,0.5889856256968368,5.5675692846125315
fog/s5,1792.0,0.20688283443450928,0.19065529808870912,0.5967589725739154,5.525217442037499
fog/s5,1920.0,0.2128669023513794,0.1946937715910128,0.6029956758552657,5.477282987268738
fog/s5,2048.0,0.24141177535057068,0.2031879540927506,0.5955487582171612,5.397627186880212
fog/s5,2176.0,0.23225294053554535,0.20847249708234963,0.5897888381453724,5.359394738173038
fog/s5,2304.0,0.19832274317741394,0.20662708728145224,0.5985879825601252,5.422188005801563
fog/s5,2432.0,0.25352585315704346,0.21515413562246882,0.5851084841931415,5.329669156666289
fog/s5,2560.0,0.18919512629508972,0.21043431574476354,0.570144935699541,5.427344735321023
fog/s5,2688.0,0.23983068764209747,0.2157791106351879,0.5740742957988662,5.38738710299328
fog/s5,2816.0,0.19674800336360931,0.21231890931308267,0.5785125451215549,5.4433891622020845
fog/s5,2944.0,0.2179429531097412,0.21334146273065696,0.5933637698747599,5.429726056546315
fog/s5,3072.0,0.22620747983455658,0.2156807385677296,0.5947827715690541,5.403075216521883
fog/s5,3200.0,0.2173011153936386,0.2159753525360767,0.5820446652652346,5.414498328038772
fog/s5,3328.0,0.21754102408885956,0.2162600200911281,0.5768749412106116,5.417363347333705
fog/s5,3456.0,0.19444498419761658,0.21229364992867145,0.5762551259343762,5.446637053787583
fog/s5,3584.0,0.23663124442100525,0.21671866710909576,0.586687315708136,5.377595952879706
fog/s5,3712.0,0.22791986167430878,0.21875524793913448,0.5820489468790001,5.353092811244224
fog/s5,3840.0,0.2138376235961914,0.21786113442223573,0.5830761545223059,5.350698490451001
fog/s5,3968.0,0.25795087218284607,0.2251501776514376,0.5961604836058411,5.245439707907172
fog/s5,4096.0,0.2126259058713913,0.2228730373277928,0.5623057782815961,5.294172122733346
fog/s5,4224.0,0.27621662616729736,0.23257187166224816,0.5946530416595808,5.1946814280828875
fog/s5,4352.0,0.22892144322395325,0.23190815740073997,0.5928049287142648,5.229462143794042
fog/s5,4480.0,0.22072428464889526,0.22987472599131364,0.5721979274864085,5.269990867805241
fog/s5,4608.0,0.21137496829032898,0.2265111336820437,0.5829382820363561,5.320196147636379
fog/s5,4736.0,0.20854082703590393,0.22324380520092738,0.564818188801197,5.3566584599078855
fog/s5,4864.0,0.2947911322116852,0.23625241011197423,0.6082150685363384,5.203784048866761
fog/s5,4992.0,0.24038612842559814,0.23700399525990584,0.6101481037309372,5.2226511907087705
fog/s5,5120.0,0.23920777440071106,0.23740468237641585,0.5907809620017017,5.222879483016777
fog/s5,5248.0,0.27470076084136963,0.244185787551862,0.5899546109267589,5.136719130047
fog/s5,5376.0,0.2578485608100891,0.24666992814426691,0.5966328387195659,5.133182764283181
fog/s5,5504.0,0.29884666204452515,0.2561566070352229,0.6124670242668168,5.029884837044338
fog/s5,5632.0,0.27907514572143555,0.2603236140690797,0.6122196608728276,4.98605567643644
fog/s5,5760.0,0.2688256502151489,0.26186943882291047,0.612054070501645,4.980491154843923
fog/s5,5888.0,0.3103395104408264,0.270682179117077,0.599288262071349,4.894407941863252
fog/s5,6016.0,0.29450637102127075,0.27501385037238496,0.5628499936180104,4.8529017493021245
fog/s5,6144.0,0.348524808883667,0.288379479192618,0.5895937973806515,4.696313098866282
fog/s5,6272.0,0.27015647292137146,0.2850662053251186,0.5992322114696923,4.776934328319625
fog/s5,6400.0,0.27103814482688904,0.28251564887089503,0.5625542076780584,4.838319162971073
fog/s5,6528.0,0.26119565963745117,0.278639287192087,0.5661519902638241,4.901696407894702
fog/s5,6656.0,0.30956631898880005,0.28426238388239844,0.5610707538129731,4.83013500040994
fog/s5,6784.0,0.2504109740257263,0.2781075820902762,0.5390742236268662,4.909084435875775
fog/s5,6912.0,0.279901385307312,0.2784337281297372,0.5450104306923649,4.908186595980296
fog/s5,7040.0,0.33204513788223267,0.28818125717564547,0.5572487180667897,4.764459405957351
fog/s5,7168.0,0.2967666983604431,0.28974224648197233,0.5729309600281814,4.753755243718738
fog/s5,7296.0,0.30711227655410767,0.2929004337678151,0.5823959319196916,4.737277569522125
fog/s5,7424.0,0.32208412885665894,0.2982065601476049,0.5771100866569836,4.696012313652651
fog/s5,7552.0,0.3533647656440735,0.30823532478332644,0.5782203885885593,4.601000213874092
fog/s5,7680.0,0.3275803327560425,0.31175259896018387,0.6130545576501926,4.588625351624626
fog/s5,7808.0,0.3061363101005554,0.3107314555311605,0.5940179270220297,4.621450642933463
fog/s5,7936.0,0.33354678750038147,0.31487969770738244,0.5854066288329289,4.554874598121111
fog/s5,8064.0,0.3032371997833252,0.3127628799030084,0.5866151812848532,4.608411813488123
fog/s5,8192.0,0.3641106188297272,0.32209883243513904,0.5892320635047363,4.50536902943879
fog/s5,8320.0,0.3241092562675476,0.3224643640410315,0.5945995631725921,4.516379976417899
fog/s5,8448.0,0.3321220874786377,0.32422031375695987,0.5997422695618179,4.502788036617108
fog/s5,8576.0,0.34618186950683594,0.32821332389330093,0.5820072217727871,4.4754711886554865
fog/s5,8704.0,0.34611204266548157,0.33146763639733373,0.6068085534181467,4.4337940834484
fog/s5,8832.0,0.34716323018074036,0.33432138072158946,0.6218615109658667,4.427135595625295
fog/s5,8960.0,0.38314515352249146,0.34319843032175346,0.6092110114730183,4.340073064376811
fog/s5,9088.0,0.3456372022628784,0.34364184340195797,0.6082321647050782,4.3617134782910165
fog/s5,9216.0,0.4104481339454651,0.3557884416825956,0.6251388871166226,4.194182402628204
fog/s5,9344.0,0.3574833273887634,0.35609660272008065,0.6212190070780697,4.232323430340979
fog/s5,9472.0,0.39006924629211426,0.3622734470059049,0.6276342113497821,4.180052084463695
fog/s5,9600.0,0.34497958421707153,0.3591291083170261,0.606618769581259,4.247425850608186
fog/s5,9728.0,0.395463228225708,0.36573531193678643,0.6250919036039833,4.162455168691853
fog/s5,9856.0,0.33471596240997314,0.3600954302046386,0.6111152412555589,4.22775986465158
fog/s5,9984.0,0.39451295137405396,0.36635316132635043,0.6061494590223163,4.194281851987512
fog/s5,10112.0,0.4029650092124939,0.3730098609420129,0.6312343486017158,4.107773294256559
fog/s5,10240.0,0.4145224392414093,0.380557602450994,0.6209089441052806,4.025326166654756
fog/s5,10368.0,0.40965795516967773,0.38584857567257286,0.6382737559713035,3.9984296629458056
fog/s5,10496.0,0.42897945642471313,0.3936905539911438,0.6480902829229386,3.955220096071873
fog/s5,10624.0,0.3482629954814911,0.3854309978984797,0.611273247245934,4.07660141672301
fog/s5,10752.0,0.44853562116622925,0.39690456576534316,0.623042421710088,3.9270620974901806
fog/s5,10880.0,0.4428105354309082,0.4052511057045368,0.6138755054422903,3.80465052613319
fog/s5,11008.0,0.40540772676467896,0.40527958226092625,0.6193608755440125,3.842426789790866
fog/s5,11136.0,0.39985209703445435,0.40429276676520404,0.6196754621410331,3.864985281542876
